Student_ID,Semster_Name,Paper 1,Paper 2,Paper 3,Paper 4,Paper 5,Paper 6,Paper 7,
SID20131151,Sem_2,69,40,88,85,62,52,95,,,,,,
SID20131171,Sem_2,75,83,60,83,49,92,64,,,,,,
SID20131176,Sem_2,57,87,99,98,50,46,50,,,,,
SID20131177,Sem_2,67,,59,98,51,58,89,,,,,
SID20131184,Sem_2,85,70,59,58,59,47,59,,,,,,
SID20131189,Sem_2,96,57,49,41,51,47,40,,,,,,
SID20131191,Sem_2,62,52,71,56,87,71,77,,,,,,
SID20131208,Sem_2,51,92,57,53,82,78,64,,,,,,
SID20131220,Sem_2,87,77,95,86,91,64,42,,,,,,
SID20131231,Sem_2,66,56,78,97,40,92,52,,,,,,
SID20131244,Sem_2,82,60,68,89,57,98,71,,,,,,
SID20131246,Sem_2,41,47,47,80,97,99,86,,,,,,
SID20131265,Sem_2,44,87,99,65,65,40,86,,,,,,
SID20131278,Sem_2,94,80,61,91,63,91,93,,,,,,
SID20131303,Sem_2,58,98,74,42,70,75,52,,,,,,
SID20131314,Sem_2,45,98,77,100,70,76,71,,,,,,
SID20131331,Sem_2,68,62,84,69,96,55,89,,,,,,
SID20131364,Sem_2,57,67,52,57,84,69,63,,,,,,
SID20131384,Sem_2,71,42,67,91,96,42,71,,,,,,
SID20131407,Sem_2,54,67,88,49,93,58,100,,,,,,
SID20131420,Sem_2,90,76,45,69,53,77,82,,,,,,
SID20131433,Sem_2,86,79,58,78,46,89,23,,,,,,
SID20131438,Sem_2,99,77,48,95,100,86,69,,,,,,
SID20131443,Sem_2,45,70,51,63,75,40,50,,,,,,
SID20131446,Sem_2,75,84,53,62,50,66,61,,,,,,
SID20131477,Sem_2,,98,67,44,87,83,51,,,,,,
SID20131501,Sem_2,85,63,99,81,80,52,63,,,,,,
SID20131506,Sem_2,81,85,83,81,93,99,76,,,,,,
SID20131526,Sem_2,29,50,54,59,87,91,23,,,,,,
SID20131529,Sem_2,60,55,58,91,61,60,72,,,,,,
SID20131535,Sem_2,91,53,,92,83,91,46,,,,,,
SID20131582,Sem_2,82,51,44,92,54,,83,,,,,,
SID20131603,Sem_2,95,43,52,92,100,45,58,,,,,,
SID20131618,Sem_2,83,44,43,93,91,98,43,,,,,,
SID20131649,Sem_2,63,64,57,26,,63,50,,,,,,
SID20131675,Sem_2,83,65,64,70,68,45,47,,,,,,
SID20131703,Sem_2,90,67,94,100,42,82,62,,,,,,
SID20131753,Sem_2,94,87,89,58,79,60,70,,,,,,
SID20131754,Sem_2,76,83,40,85,64,40,44,,,,,,
SID20131764,Sem_2,43,74,56,58,100,58,48,,,,,,
SID20131767,Sem_2,90,48,40,55,,88,89,,,,,,
SID20131800,Sem_2,74,78,75,86,72,95,67,,,,,,
SID20131804,Sem_2,42,80,63,85,49,45,98,,,,,,
SID20131811,Sem_2,43,75,45,69,100,40,41,,,,,,
SID20131817,Sem_2,78,56,79,71,91,59,73,,,,,,
SID20131823,Sem_2,42,67,70,56,47,51,47,,,,,,
SID20131826,Sem_2,74,56,56,40,68,94,66,,,,,,
SID20131830,Sem_2,42,84,42,75,73,94,51,,,,,,
SID20131834,Sem_2,98,81,90,92,75,48,55,,,,,,
SID20131850,Sem_2,88,73,86,100,76,62,44,,,,,,
SID20131851,Sem_2,62,68,73,76,41,82,63,,,,,,
SID20131862,Sem_2,89,92,73,92,43,67,76,,,,,,
SID20131872,Sem_2,72,79,52,59,47,75,82,,,,,,
SID20131874,Sem_2,42,86,61,88,99,91,48,,,,,,
SID20131889,Sem_2,80,45,60,81,81,77,69,,,,,,
SID20131931,Sem_2,98,97,78,84,63,68,80,,,,,,
SID20131936,Sem_2,76,45,73,57,51,56,41,,,,,,
SID20131943,Sem_2,93,67,86,90,96,54,48,,,,,,
SID20131946,Sem_2,90,82,,48,71,67,92,,,,,,
SID20131949,Sem_2,73,54,79,99,92,66,42,,,,,,
SID20131978,Sem_2,69,68,56,89,94,69,62,,,,,,
SID20131983,Sem_2,75,70,70,67,41,67,81,,,,,,
SID20131998,Sem_2,46,50,41,89,43,81,,,,,,,
SID20132012,Sem_2,76,57,48,40,71,81,84,,,,,,
SID20132013,Sem_2,46,43,51,59,57,71,67,,,,,,
SID20132032,Sem_2,79,84,63,82,67,90,48,,,,,,
SID20132095,Sem_2,91,,73,64,80,62,61,,,,,,
SID20132136,Sem_2,83,,86,71,96,54,84,,,,,,
SID20132137,Sem_2,72,57,45,44,58,97,83,,,,,,
SID20132171,Sem_2,55,91,100,42,91,66,71,,,,,,
SID20132193,Sem_2,40,83,53,90,75,76,24,,,,,,
SID20132211,Sem_2,83,82,83,44,50,93,81,,,,,,
SID20132217,Sem_2,88,40,61,63,90,85,62,,,,,,
SID20132222,Sem_2,61,54,90,42,59,77,71,,,,,,
SID20132245,Sem_2,78,91,66,96,71,48,93,,,,,,
SID20132258,Sem_2,48,74,26,49,50,67,42,,,,,,
SID20132300,Sem_2,74,41,64,73,53,82,92,,,,,,
SID20132304,Sem_2,71,73,,83,74,,88,,,,,,
SID20132356,Sem_2,100,58,43,97,52,60,98,,,,,,
SID20132360,Sem_2,54,55,88,91,62,56,41,,,,,,
SID20132369,Sem_2,74,84,57,88,76,52,87,,,,,,
SID20132371,Sem_2,77,99,,79,69,81,100,,,,,,
SID20132382,Sem_2,69,67,72,60,88,83,52,,,,,,
SID20132388,Sem_2,60,84,61,75,98,42,64,,,,,,
SID20132422,Sem_2,45,71,95,51,66,54,47,,,,,,
SID20132424,Sem_2,98,72,97,50,96,81,61,,,,,,
SID20132440,Sem_2,85,,71,88,51,41,78,,,,,,
SID20132511,Sem_2,100,70,54,91,40,52,92,,,,,,
SID20132513,Sem_2,66,78,87,63,96,51,50,,,,,,
SID20132530,Sem_2,50,96,87,64,74,50,80,,,,,,
SID20132536,Sem_2,94,55,88,91,78,95,27,,,,,,
SID20132556,Sem_2,58,,60,49,94,58,80,,,,,,
SID20132572,Sem_2,88,40,82,77,73,53,64,,,,,,
SID20132579,Sem_2,89,86,77,45,26,53,71,,,,,,
SID20132626,Sem_2,86,90,,56,84,83,97,,,,,,
SID20132627,Sem_2,68,98,67,53,46,62,89,,,,,,
SID20132638,Sem_2,44,41,99,97,61,86,46,,,,,,
SID20132654,Sem_2,82,84,84,60,69,76,58,,,,,,
SID20132664,Sem_2,69,73,76,57,53,47,42,,,,,,
SID20132672,Sem_2,94,50,93,97,41,83,61,,,,,,
SID20132704,Sem_2,95,52,77,74,79,85,57,,,,,,
SID20132710,Sem_2,68,51,50,97,78,67,59,,,,,,
SID20132735,Sem_2,76,52,73,44,56,80,87,,,,,,
SID20132741,Sem_2,94,84,47,56,55,78,60,,,,,,
SID20132743,Sem_2,44,74,52,71,67,77,41,,,,,,
SID20132744,Sem_2,53,97,82,78,95,64,68,,,,,,
SID20132766,Sem_2,46,63,70,77,51,89,83,,,,,,
SID20132775,Sem_2,45,67,67,57,91,41,89,,,,,,
SID20132777,Sem_2,66,88,95,81,91,61,89,,,,,,
SID20132800,Sem_2,62,79,54,88,94,49,78,,,,,,
SID20132816,Sem_2,78,84,67,90,45,98,72,,,,,,
SID20132830,Sem_2,55,57,43,63,68,59,72,,,,,,
SID20132838,Sem_2,84,24,47,69,49,84,77,,,,,,
SID20132839,Sem_2,25,91,58,97,52,91,83,,,,,,
SID20132852,Sem_2,92,47,52,92,48,87,72,,,,,,
SID20132856,Sem_2,26,97,73,91,100,44,57,,,,,,
SID20132880,Sem_2,62,99,74,61,46,97,92,,,,,,
SID20132884,Sem_2,63,76,64,96,98,69,73,,,,,,
SID20132894,Sem_2,72,66,49,83,97,52,87,,,,,,
SID20132910,Sem_2,87,66,99,41,74,71,63,,,,,,
SID20132911,Sem_2,52,54,75,89,83,56,66,,,,,,
SID20132913,Sem_2,80,62,40,79,75,58,74,,,,,,
SID20132917,Sem_2,91,92,60,66,71,57,99,,,,,,
SID20132928,Sem_2,87,100,80,93,82,48,97,,,,,,
SID20132939,Sem_2,67,91,43,60,43,41,73,,,,,,
SID20132952,Sem_2,74,76,64,68,89,69,56,,,,,,
SID20132992,Sem_2,90,82,70,84,93,81,68,,,,,,
SID20132995,Sem_2,72,50,62,70,60,72,61,,,,,,
SID20133005,Sem_2,78,51,62,70,50,93,74,,,,,,
SID20133006,Sem_2,86,79,50,93,84,49,52,,,,,,
SID20133032,Sem_2,50,98,43,22,63,51,69,,,,,,
SID20133050,Sem_2,57,40,65,99,42,59,65,,,,,,
SID20133068,Sem_2,52,56,70,54,46,64,41,,,,,,
SID20133084,Sem_2,99,41,57,46,88,63,71,,,,,,
SID20133095,Sem_2,53,71,90,56,80,46,56,,,,,,
SID20133098,Sem_2,93,51,40,98,49,65,57,,,,,,
SID20133106,Sem_2,81,68,91,54,49,64,84,,,,,,
SID20133111,Sem_2,84,75,50,48,57,68,79,,,,,,
SID20133120,Sem_2,71,59,43,41,57,59,47,,,,,,
SID20133121,Sem_2,44,93,86,50,42,67,46,,,,,,
SID20133123,Sem_2,79,55,72,59,74,57,83,,,,,,
SID20133184,Sem_2,60,68,87,52,72,70,87,,,,,,
SID20133204,Sem_2,79,71,42,48,71,74,81,,,,,,
SID20133211,Sem_2,56,74,91,44,85,82,53,,,,,,
SID20133222,Sem_2,87,50,86,98,73,40,44,,,,,,
SID20133223,Sem_2,65,42,55,70,78,49,96,,,,,,
SID20133226,Sem_2,51,95,48,65,57,100,87,,,,,,
SID20133235,Sem_2,72,65,50,63,87,55,92,,,,,,
SID20133262,Sem_2,93,96,59,68,48,41,71,,,,,,
SID20133276,Sem_2,59,61,48,91,54,97,53,,,,,,
SID20133282,Sem_2,59,67,97,99,74,74,97,,,,,,
SID20133286,Sem_2,72,42,69,92,85,75,95,,,,,,
SID20133306,Sem_2,50,52,43,,67,72,85,,,,,,
SID20133308,Sem_2,60,52,48,53,48,49,91,,,,,,
SID20133311,Sem_2,75,66,93,73,94,65,90,,,,,,
SID20133314,Sem_2,70,77,85,77,46,99,95,,,,,,
SID20133325,Sem_2,90,60,51,54,89,91,83,,,,,,
SID20133342,Sem_2,92,96,26,72,91,68,61,,,,,,
SID20133350,Sem_2,20,50,66,60,66,55,27,,,,,,
SID20133376,Sem_2,69,74,83,47,70,53,46,,,,,,
SID20133385,Sem_2,99,58,53,93,77,57,80,,,,,,
SID20133388,Sem_2,51,57,42,60,66,61,99,,,,,,
SID20133390,Sem_2,93,40,48,57,92,91,65,,,,,,
SID20133413,Sem_2,23,98,46,51,72,88,79,,,,,,
SID20133435,Sem_2,49,72,78,75,82,89,,,,,,,
SID20133442,Sem_2,60,85,77,97,91,42,53,,,,,,
SID20133455,Sem_2,48,47,29,70,63,89,58,,,,,,
SID20133467,Sem_2,56,83,44,46,87,65,63,,,,,,
SID20133468,Sem_2,81,44,75,96,88,76,42,,,,,,
SID20133486,Sem_2,89,75,65,77,40,57,70,,,,,,
SID20133497,Sem_2,85,43,72,41,48,45,45,,,,,,
SID20133506,Sem_2,76,54,40,80,71,90,40,,,,,,
SID20133507,Sem_2,92,71,60,81,83,89,42,,,,,,
SID20133520,Sem_2,42,53,60,79,42,100,90,,,,,,
SID20133527,Sem_2,65,59,78,61,99,76,67,,,,,,
SID20133542,Sem_2,56,45,60,57,70,73,76,,,,,,
SID20133549,Sem_2,94,43,41,79,72,81,93,,,,,,
SID20133560,Sem_2,86,44,97,90,55,97,42,,,,,,
SID20133561,Sem_2,67,47,77,44,54,99,72,,,,,,
